,model,variables,layer,accuracy
345,282,"[0, 2]",conv2,0.9290000200271606
346,282,"[0, 2]",conv3,0.8930000066757202
347,282,"[0, 2]",fc1,0.621999979019165
348,282,"[1, 2]",conv1,0.925000011920929
349,282,"[1, 2]",conv2,0.9120000004768372
350,282,"[1, 2]",conv3,0.8700000047683716
351,282,"[1, 2]",fc1,0.6079999804496765
352,282,[0],conv1,0.9110000133514404
353,282,[0],conv2,0.9169999957084656
354,282,[0],conv3,0.8579999804496765
355,282,[0],fc1,0.7239999771118164
356,282,[1],conv1,0.9580000042915344
357,282,[1],conv2,0.9480000138282776
358,282,[1],conv3,0.9470000267028809
359,282,[1],fc1,0.7670000195503235
360,282,[2],conv1,0.9419999718666077
361,282,[2],conv2,0.9480000138282776
362,282,[2],conv3,0.8870000243186951
363,282,[2],fc1,0.7200000286102295
364,283,"[0, 1, 2]",conv1,0.9459999799728394
365,283,"[0, 1, 2]",conv2,0.949999988079071
366,283,"[0, 1, 2]",conv3,0.9570000171661377
367,283,"[0, 1, 2]",fc1,0.5049999952316284
368,283,"[0, 1]",conv1,0.9190000295639038
369,283,"[0, 1]",conv2,0.9070000052452087
370,283,"[0, 1]",conv3,0.8889999985694885
371,283,"[0, 1]",fc1,0.6850000023841858
372,283,"[0, 2]",conv1,0.9440000057220459
373,283,"[0, 2]",conv2,0.9459999799728394
374,283,"[0, 2]",conv3,0.9269999861717224
375,283,"[0, 2]",fc1,0.6190000176429749
376,283,"[1, 2]",conv1,0.9160000085830688
377,283,"[1, 2]",conv2,0.8980000019073486
378,283,"[1, 2]",conv3,0.8920000195503235
379,283,"[1, 2]",fc1,0.5640000104904175
380,283,[0],conv1,0.9150000214576721
381,283,[0],conv2,0.9240000247955322
382,283,[0],conv3,0.9290000200271606
383,283,[0],fc1,0.781000018119812
384,283,[1],conv1,0.9539999961853027
385,283,[1],conv2,0.9539999961853027
386,283,[1],conv3,0.9480000138282776
387,283,[1],fc1,0.7429999709129333
388,283,[2],conv1,0.9380000233650208
389,283,[2],conv2,0.9369999766349792
390,283,[2],conv3,0.890999972820282
391,283,[2],fc1,0.6710000038146973
392,284,"[0, 1, 2]",conv1,0.9200000166893005
393,284,"[0, 1, 2]",conv2,0.9459999799728394
394,284,"[0, 1, 2]",conv3,0.9240000247955322
395,284,"[0, 1, 2]",fc1,0.6600000262260437
396,284,"[0, 1]",conv1,0.9089999794960022
397,284,"[0, 1]",conv2,0.9160000085830688
398,284,"[0, 1]",conv3,0.9010000228881836
399,284,"[0, 1]",fc1,0.6069999933242798
400,284,"[0, 2]",conv1,0.9319999814033508
401,284,"[0, 2]",conv2,0.9070000052452087
402,284,"[0, 2]",conv3,0.9089999794960022
403,284,"[0, 2]",fc1,0.7590000033378601
404,284,"[1, 2]",conv1,0.9139999747276306
405,284,"[1, 2]",conv2,0.9100000262260437
406,284,"[1, 2]",conv3,0.8949999809265137
407,284,"[1, 2]",fc1,0.6660000085830688
408,284,[0],conv1,0.9129999876022339
409,284,[0],conv2,0.8989999890327454
410,284,[0],conv3,0.8600000143051147
411,284,[0],fc1,0.6759999990463257
412,284,[1],conv1,0.9520000219345093
413,284,[1],conv2,0.9419999718666077
414,284,[1],conv3,0.9200000166893005
415,284,[1],fc1,0.7730000019073486
416,284,[2],conv1,0.9419999718666077
417,284,[2],conv2,0.9480000138282776
418,284,[2],conv3,0.9210000038146973
419,284,[2],fc1,0.8309999704360962
420,285,"[0, 1, 2]",conv1,0.9589999914169312
421,285,"[0, 1, 2]",conv2,0.9399999976158142
422,285,"[0, 1, 2]",conv3,0.9279999732971191
423,285,"[0, 1, 2]",fc1,0.8519999980926514
424,285,"[0, 1]",conv1,0.9229999780654907
425,285,"[0, 1]",conv2,0.9340000152587891
426,285,"[0, 1]",conv3,0.8849999904632568
427,285,"[0, 1]",fc1,0.7049999833106995
428,285,"[0, 2]",conv1,0.9229999780654907
429,285,"[0, 2]",conv2,0.9330000281333923
430,285,"[0, 2]",conv3,0.8920000195503235
431,285,"[0, 2]",fc1,0.7540000081062317
432,285,"[1, 2]",conv1,0.9190000295639038
433,285,"[1, 2]",conv2,0.9179999828338623
434,285,"[1, 2]",conv3,0.8659999966621399
435,285,"[1, 2]",fc1,0.718999981880188
436,285,[0],conv1,0.9110000133514404
437,285,[0],conv2,0.9089999794960022
438,285,[0],conv3,0.8809999823570251
439,285,[0],fc1,0.7139999866485596
440,285,[1],conv1,0.9570000171661377
441,285,[1],conv2,0.9589999914169312
442,285,[1],conv3,0.9259999990463257
443,285,[1],fc1,0.7099999785423279
444,285,[2],conv1,0.9269999861717224
445,285,[2],conv2,0.9409999847412109
446,285,[2],conv3,0.9020000100135803
447,285,[2],fc1,0.7400000095367432
448,286,"[0, 1, 2]",conv1,0.949999988079071
449,286,"[0, 1, 2]",conv2,0.9470000267028809
450,286,"[0, 1, 2]",conv3,0.9539999961853027
451,286,"[0, 1, 2]",fc1,0.8740000128746033
452,286,"[0, 1]",conv1,0.9120000004768372
453,286,"[0, 1]",conv2,0.9160000085830688
454,286,"[0, 1]",conv3,0.8899999856948853
455,286,"[0, 1]",fc1,0.7620000243186951
456,286,"[0, 2]",conv1,0.9440000057220459
457,286,"[0, 2]",conv2,0.949999988079071
458,286,"[0, 2]",conv3,0.9210000038146973
459,286,"[0, 2]",fc1,0.6119999885559082
460,286,"[1, 2]",conv1,0.9300000071525574
461,286,"[1, 2]",conv2,0.9279999732971191
462,286,"[1, 2]",conv3,0.9110000133514404
463,286,"[1, 2]",fc1,0.5740000009536743
464,286,[0],conv1,0.9330000281333923
465,286,[0],conv2,0.9319999814033508
466,286,[0],conv3,0.9129999876022339
467,286,[0],fc1,0.7379999756813049
468,286,[1],conv1,0.9629999995231628
469,286,[1],conv2,0.9679999947547913
470,286,[1],conv3,0.9179999828338623
471,286,[1],fc1,0.6330000162124634
472,286,[2],conv1,0.9399999976158142
473,286,[2],conv2,0.9399999976158142
474,286,[2],conv3,0.8870000243186951
475,286,[2],fc1,0.7300000190734863
476,287,"[0, 1, 2]",conv1,0.9200000166893005
477,287,"[0, 1, 2]",conv2,0.9440000057220459
478,287,"[0, 1, 2]",conv3,0.9480000138282776
479,287,"[0, 1, 2]",fc1,0.7239999771118164
480,287,"[0, 1]",conv1,0.9110000133514404
481,287,"[0, 1]",conv2,0.921999990940094
482,287,"[0, 1]",conv3,0.9039999842643738
483,287,"[0, 1]",fc1,0.6639999747276306
484,287,"[0, 2]",conv1,0.9210000038146973
485,287,"[0, 2]",conv2,0.9150000214576721
486,287,"[0, 2]",conv3,0.8730000257492065
487,287,"[0, 2]",fc1,0.7480000257492065
488,287,"[1, 2]",conv1,0.9279999732971191
489,287,"[1, 2]",conv2,0.9049999713897705
490,287,"[1, 2]",conv3,0.8650000095367432
491,287,"[1, 2]",fc1,0.652999997138977
492,287,[0],conv1,0.890999972820282
493,287,[0],conv2,0.9079999923706055
494,287,[0],conv3,0.8820000290870667
495,287,[0],fc1,0.6710000038146973
496,287,[1],conv1,0.9570000171661377
497,287,[1],conv2,0.9539999961853027
498,287,[1],conv3,0.9319999814033508
499,287,[1],fc1,0.6499999761581421
500,287,[2],conv1,0.9399999976158142
501,287,[2],conv2,0.9350000023841858
502,287,[2],conv3,0.9240000247955322
503,287,[2],fc1,0.7960000038146973
504,288,"[0, 1, 2]",conv1,0.9440000057220459
505,288,"[0, 1, 2]",conv2,0.9549999833106995
506,288,"[0, 1, 2]",conv3,0.9520000219345093
507,288,"[0, 1, 2]",fc1,0.5389999747276306
508,288,"[0, 1]",conv1,0.9089999794960022
509,288,"[0, 1]",conv2,0.9179999828338623
510,288,"[0, 1]",conv3,0.9039999842643738
511,288,"[0, 1]",fc1,0.7419999837875366
512,288,"[0, 2]",conv1,0.9229999780654907
513,288,"[0, 2]",conv2,0.9350000023841858
514,288,"[0, 2]",conv3,0.9010000228881836
515,288,"[0, 2]",fc1,0.6489999890327454
516,288,"[1, 2]",conv1,0.9240000247955322
517,288,"[1, 2]",conv2,0.9079999923706055
518,288,"[1, 2]",conv3,0.8949999809265137
519,288,"[1, 2]",fc1,0.7160000205039978
520,288,[0],conv1,0.9020000100135803
521,288,[0],conv2,0.890999972820282
522,288,[0],conv3,0.8920000195503235
523,288,[0],fc1,0.7179999947547913
524,288,[1],conv1,0.9639999866485596
525,288,[1],conv2,0.9599999785423279
526,288,[1],conv3,0.9340000152587891
527,288,[1],fc1,0.703000009059906
528,288,[2],conv1,0.9480000138282776
529,288,[2],conv2,0.9319999814033508
530,288,[2],conv3,0.9020000100135803
531,288,[2],fc1,0.6470000147819519
532,289,"[0, 1, 2]",conv1,0.9509999752044678
533,289,"[0, 1, 2]",conv2,0.9490000009536743
534,289,"[0, 1, 2]",conv3,0.9520000219345093
535,289,"[0, 1, 2]",fc1,0.9570000171661377
536,289,"[0, 1]",conv1,0.9160000085830688
537,289,"[0, 1]",conv2,0.9139999747276306
538,289,"[0, 1]",conv3,0.8989999890327454
539,289,"[0, 1]",fc1,0.6710000038146973
540,289,"[0, 2]",conv1,0.9559999704360962
541,289,"[0, 2]",conv2,0.9399999976158142
542,289,"[0, 2]",conv3,0.9089999794960022
543,289,"[0, 2]",fc1,0.7419999837875366
544,289,"[1, 2]",conv1,0.9229999780654907
545,289,"[1, 2]",conv2,0.9010000228881836
546,289,"[1, 2]",conv3,0.8920000195503235
547,289,"[1, 2]",fc1,0.5619999766349792
548,289,[0],conv1,0.9309999942779541
549,289,[0],conv2,0.9150000214576721
550,289,[0],conv3,0.9269999861717224
551,289,[0],fc1,0.8100000023841858
552,289,[1],conv1,0.9679999947547913
553,289,[1],conv2,0.9570000171661377
554,289,[1],conv3,0.9490000009536743
555,289,[1],fc1,0.7120000123977661
556,289,[2],conv1,0.9409999847412109
557,289,[2],conv2,0.921999990940094
558,289,[2],conv3,0.8859999775886536
559,289,[2],fc1,0.6769999861717224
560,290,"[0, 1, 2]",conv1,0.9300000071525574
561,290,"[0, 1, 2]",conv2,0.9390000104904175
562,290,"[0, 1, 2]",conv3,0.9309999942779541
563,290,"[0, 1, 2]",fc1,0.5170000195503235
564,290,"[0, 1]",conv1,0.9129999876022339
565,290,"[0, 1]",conv2,0.9010000228881836
566,290,"[0, 1]",conv3,0.9110000133514404
567,290,"[0, 1]",fc1,0.8149999976158142
568,290,"[0, 2]",conv1,0.9309999942779541
569,290,"[0, 2]",conv2,0.9160000085830688
570,290,"[0, 2]",conv3,0.9160000085830688
571,290,"[0, 2]",fc1,0.6940000057220459
572,290,"[1, 2]",conv1,0.9309999942779541
573,290,"[1, 2]",conv2,0.9160000085830688
574,290,"[1, 2]",conv3,0.8700000047683716
575,290,"[1, 2]",fc1,0.671999990940094
576,290,[0],conv1,0.8999999761581421
577,290,[0],conv2,0.8820000290870667
578,290,[0],conv3,0.8939999938011169
579,290,[0],fc1,0.7519999742507935
580,290,[1],conv1,0.9660000205039978
581,290,[1],conv2,0.9570000171661377
582,290,[1],conv3,0.9369999766349792
583,290,[1],fc1,0.7419999837875366
584,290,[2],conv1,0.9419999718666077
